Ref,Val,Package,PosX,PosY,Rot,Side
"C1",".1uF","C_0402_1005Metric",210.850000,-79.100000,90.000000,top
"C2","1uF","C_0402_1005Metric",216.150000,-91.000000,-90.000000,top
"C3",".1uF","C_0402_1005Metric",216.500000,-86.350000,0.000000,top
"C4",".1uF","C_0402_1005Metric",206.299000,-70.688000,180.000000,top
"C5",".1uF","C_0402_1005Metric",206.308000,-69.582000,180.000000,top
"C6",".1uF","C_0402_1005Metric",206.299000,-68.454000,180.000000,top
"C7",".1uF","C_0402_1005Metric",206.750000,-89.750000,90.000000,top
"C8",".1uF","C_0402_1005Metric",210.600000,-80.700000,180.000000,top
"C9",".1uF","C_0402_1005Metric",213.200000,-95.550000,-90.000000,top
"C10","1uF","C_0402_1005Metric",204.750000,-85.500000,180.000000,top
"C11",".1uF","C_0402_1005Metric",216.350000,-84.200000,0.000000,top
"C12",".1uF","C_0402_1005Metric",216.300000,-85.300000,0.000000,top
"C13","10uF","C_0402_1005Metric",210.250000,-77.400000,0.000000,top
"C14","10uF","C_0402_1005Metric",204.541000,-67.468000,180.000000,top
"C15","33pF","C_0402_1005Metric",208.500000,-96.500000,90.000000,top
"C16","33pF","C_0402_1005Metric",212.450000,-100.800000,90.000000,top
"C17",".1uF","C_0402_1005Metric",208.769000,-77.772000,-90.000000,top
"C18","0.1 uF","C_0402_1005Metric",217.900000,-98.250000,-90.000000,top
"D1","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",208.250000,-106.100000,180.000000,top
"J1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",210.963000,-62.569000,180.000000,top
"J2","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",201.641000,-62.011000,0.000000,top
"J3","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",220.164000,-61.958000,0.000000,top
"J4","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",205.200000,-110.250000,90.000000,top
"R1","5.1K","R_0402_1005Metric",217.393000,-66.229000,0.000000,top
"R2","1K","R_0402_1005Metric",211.400000,-100.810000,-90.000000,top
"R3","5.1K","R_0402_1005Metric",205.153000,-64.611000,90.000000,top
"R4","27","R_0402_1005Metric",214.800000,-84.150000,-90.000000,top
"R5","27","R_0402_1005Metric",213.750000,-84.150000,-90.000000,top
"R6","10K","R_0402_1005Metric",206.727000,-85.865000,0.000000,top
"R7","1K","R_0402_1005Metric",208.310000,-81.200000,180.000000,top
"R8","1K","R_0402_1005Metric",217.850000,-92.560000,90.000000,top
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",215.100000,-69.950000,0.000000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",211.447500,-89.306000,0.000000,top
"U2","MCP1700x-330xxTT","SOT-23",209.200000,-70.112500,90.000000,top
"U3","W25Q16JVSS","Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm",209.425000,-83.050000,0.000000,top
"U4","MCP9700Ax-ETT","SOT-23",213.362500,-107.350000,180.000000,top
"Y1","12 MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",210.800000,-97.200000,90.000000,top
