JLCPCB BOM Tool - BOM Matching,,,,,,,,,,,,,,,
,,,Download Time：2025-12-26 10:21:17,,,,,,,,,,,,
PCB Assembled Qty：2,,,Est. Total Price：11.6020,,,,,,,,,,,,
,,,,Matched Parts,,,,,,Order Information,,,,,
Top Designator,Bottom Designator,Comment,Footprint,Matches,Part #,Manufacturer,Footprint,Description,Category,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
"C1,C10",,1uF,C_0402_1005Metric,Select by Customer,CL05A105KA5NQNC,Samsung Electro-Mechanics,402,1uF 25V X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,C52923,https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923,Basic,10,10 JLCPCB,0.029
"C8,C6,C5,C4,C2,C7,C11,C9,C12,C17,C3",,0.1uF,C_0402_1005Metric,Select by Customer,CL05B104KO5NNNC,Samsung Electro-Mechanics,402,100nF 16V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,C1525,https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525,Basic,55,55 JLCPCB,0.0605
"C13,C14",,10uF,C_0603_1608Metric,Select by System,CL10A106KP8NNNC,Samsung Electro-Mechanics,603,10V 10uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,C19702,https://jlcpcb.com/partdetail/20411-CL10A106KP8NNNC/C19702,Basic,10,10 JLCPCB,0.056
"C16,C15",,33pF,C_0402_1005Metric,Select by Customer,0402CG330J500NT,FH (Guangdong Fenghua Advanced Tech),402,33pF 50V C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,C1562,https://jlcpcb.com/partdetail/1914-0402CG330J500NT/C1562,Basic,10,10 JLCPCB,0.01
J1,,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,Select by Customer,TYPE-C-31-M-12,Korean Hroparts Elec,SMD,1 16P 5A Female Type-C SMD USB Connectors ROHS,USB Connectors,C165948,https://jlcpcb.com/partdetail/Korean_HropartsElec-TYPE_C_31_M12/C165948,Extended,5,5 JLCPCB,0.8445
"J3,J2",,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,Select by Customer,2.54-1*20P直针,BOOMELE(Boom Precision Elec),"插件,P=2.54mm","-40℃~+105℃ 1 1x20P 2.54mm 20P 3A Black Brass Pin Header Through Hole Plugin,P=2.54mm Pin Headers ROHS",Pin Headers,C50981,https://jlcpcb.com/partdetail/51993-2_54_1_20P/C50981,Extended,0,0 JLCPCB,0
J4,,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,Select by Customer,1.27-1*3P针,BOOMELE(Boom Precision Elec),"插件,P=1.27mm","-55℃~+105℃ 1 1.27mm 1mm 1x3P 2.3mm 3A 3P 3mm Black Brass Pin Header Through Hole Plugin,P=1.27mm Pin Headers ROHS",Pin Headers,C24980,https://jlcpcb.com/partdetail/25717-1_27_1_3P/C24980,Extended,0,0 JLCPCB,0
"R2,R1",,5.1K,R_0402_1005Metric,Select by Customer,0402WGF5101TCE,UNI-ROYAL(Uniroyal Elec),402,-55℃~+155℃ 5.1kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,C25905,https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905,Basic,10,10 JLCPCB,0.005
"R3,R4",,27,R_0402_1005Metric,Select by Customer,0402WGF270JTCE,UNI-ROYAL(Uniroyal Elec),402,-55℃~+155℃ 27Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,C25100,https://jlcpcb.com/partdetail/25843-0402WGF270JTCE/C25100,Extended,22,22 JLCPCB,0.011
"R6,R5",,1K,R_0402_1005Metric,Select by Customer,0402WGF1001TCE,UNI-ROYAL(Uniroyal Elec),402,-55℃~+155℃ 1kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,C11702,https://jlcpcb.com/partdetail/12256-0402WGF1001TCE/C11702,Basic,10,10 JLCPCB,0.005
R7,,10K,R_0402_1005Metric,Select by Customer,0402WGF1002TCE,UNI-ROYAL(Uniroyal Elec),402,-55℃~+155℃ 10kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,C25744,https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744,Basic,5,5 JLCPCB,0.0025
SW1,,SW_Push,SW_Push_SPST_NO_Alps_SKRK,Select by Customer,TS-1088-AR02016,XUNPU,"SMD,4x3mm","-30℃~+80℃ 1.6N 100,000 Cycles 12V 2mm 3mm 4mm 50mA Black Round Button SMD(SMT) Tab SPST Surface Mount,Vertical Without Bracket SMD,4x3mm Tactile Switches ROHS",Tactile Switches,C720477,https://jlcpcb.com/partdetail/XUNPU-TS_1088AR02016/C720477,Basic,5,5 JLCPCB,0.2115
U1,,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,Select by Customer,RP2040,Raspberry Pi,LQFN-56(7x7),12bit 133MHz 30 LQFN-56(7x7) Microcontrollers (MCU/MPU/SOC) ROHS,Microcontrollers (MCU/MPU/SOC),C2040,https://jlcpcb.com/partdetail/RaspberryPi-RP2040/C2040,Extended,5,5 JLCPCB,5.5275
U2,,MCP1700x-330xxTT,SOT-23,Select by Customer,MCP1700T-3302E/TT,Microchip Tech,SOT-23,"-40℃~+125℃@(Tj) 1 1.6uA 178mV@(250mA) 250mA 3.3V 44dB@(100Hz) 6V Fixed Over Temperature Protection Positive SOT-23 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS","Voltage Regulators - Linear, Low Drop Out (LDO) Regulators",C39051,https://jlcpcb.com/partdetail/MicrochipTech-MCP1700T_3302ETT/C39051,Extended,5,5 JLCPCB,1.717
U4,,W25Q16JVUXIQTR,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,Select by Customer,W25Q16JVUXIQ,Winbond Elec,USON-8-EP(2x3),"100,000 Cycles 133MHz 16Mbit 2.7V~3.6V 20 Years 3ms SPI USON-8-EP(2x3) NOR FLASH ROHS",NOR FLASH,C2843335,https://jlcpcb.com/partdetail/WinbondElec-W25Q16JVUXIQ/C2843335,Extended,5,5 JLCPCB,2.8
Y1,,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,Select by Customer,X322512MSB4SI,YXC Crystal Oscillators,SMD3225-4P,-40℃~+85℃ 12MHz 20pF Crystal Oscillator ±10ppm ±20ppm SMD3225-4P Crystals ROHS,Crystals,C9002,https://jlcpcb.com/partdetail/YXC_CrystalOscillators-X322512MSB4SI/C9002,Basic,5,5 JLCPCB,0.3225
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,PCBA TOTAL,11.602
OTHER COSTS,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PCB Production (JLCPCB),$4.00,,,,,,,,,,,,,,
PCBA Labor + Extended Parts Cost,$28.10,,,,,,,,,,,,,,
Shipping (GSDL),$3.30,,,,,,,,,,,,,,
Discount from JLCPCB,-$10.00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PRE-PCBA TOTAL:,$25.40,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GRAND GRANT TOTAL:,$37.00,,,,,,,,,,,,,,
