IMPORTANT NOTE:,I am NOT requesting a grant for this project. That's why prices aren't here.,
,This is a project for *tickets* only at the moment.,
,A BOM is included below nevertheless to meet submission guidelines.,
,,
Name,Link,Quantity
,,
RP2040 MCU,https://www.lcsc.com/product-detail/C2040.html?s_z=n_rp2040,1
W25Q16JVSS,https://www.lcsc.com/product-detail/C131025.html?s_z=n_W25Q16JVSS,1
USB_C_Receptacle_USB2.0_14P,https://www.lcsc.com/product-detail/C223907.html?s_z=n_C223907,1
SK6812MINI,https://www.lcsc.com/product-detail/C5149201.html?s_z=n_SK6812MINI,1
C_0402_1005Metric (0.1 uF),https://www.lcsc.com/product-detail/C1525.html?s_z=n_C1525,12
C_0402_1005Metric (33 pF),https://www.lcsc.com/product-detail/C70465.html?s_z=n_C70465,2
MCP9700Ax-ETT,https://www.lcsc.com/product-detail/C127949.html?s_z=n_C127949,1
MCP1700x-330xxTT,https://www.lcsc.com/product-detail/C39051.html?s_z=n_C39051,1
PinHeader_1x20_P2.54mm_Vertical,https://www.lcsc.com/product-detail/C2938459.html?s_z=n_01x20,2
PinHeader_1x03_P2.54mm_Vertical,https://www.lcsc.com/product-detail/C52016391.html?s_z=n_pin,1
R_0402_1005Metric (1K),https://www.lcsc.com/product-detail/C106235.html?s_z=n_C106235,3
C_0402_1005Metric (1 uF),https://www.lcsc.com/product-detail/C52923.html?s_z=n_C52923,2
C_0402_1005Metric (10 uF),https://www.lcsc.com/product-detail/C15525.html?s_z=n_C15525,2
R_0402_1005Metric (27),https://www.lcsc.com/product-detail/C138021.html?s_z=n_C138021,2
Crystal_SMD_3225-4Pin_3.2x2.5mm (12 MHz),https://www.lcsc.com/product-detail/C9002.html?s_z=n_C9002,1
R_0402_1005Metric (5.1K),https://www.lcsc.com/product-detail/C105872.html?s_z=n_C105872,2
SW_Push_SPST_NO_Alps_SKRK,https://www.lcsc.com/product-detail/C202388.html?s_z=n_C202388,1
R_0402_1005Metric (10K),https://www.lcsc.com/product-detail/C60490.html?s_z=n_C60490,1
,,
PCBA,https://jlcpcb.com/,1
,,
TOTAL GRANT REQUIRED:,$0 USD,
